,Exclusion Code,D,G,Galaxy ID,m-M,err,D (Mpc),Method,REFCODE,SN ID,redshift (z),Hubble const.,Adopted LMC modulus,Date (Yr. - 1980),Notes
165848,,120241,45917,UGC 05567 NOTES01,35.4,,120.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
166124,,120513,46126,NGC 3198,29.72,,8.79,Tully-Fisher,1985A&A...153..125G,,,90.0,,5,B
166133,R,120522,46126,NGC 3198,30.51,,12.6,Tully-Fisher,2006sf2a.conf..365V,,,,,26,LEDA [April 2006]
166135,R,120524,46126,NGC 3198,30.58,,13.1,Tully-Fisher,2005Ap&SS.298..577R,,,,,25,B
166139,R,120528,46126,NGC 3198,30.65,,13.5,Tully-Fisher,2005Ap&SS.298..577R,,,,,25,I
166379,,120768,46344,UGC 05570,33.18,,43.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
166380,,120769,46344,UGC 05570,33.2,,43.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
166381,,120770,46344,UGC 05570,33.22,,44.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
166382,,120771,46344,UGC 05570,33.27,,45.1,Tully-Fisher,2000BSAO...50....5K,,,,,20,
166430,,120819,46392,FGC 1054,35.7,,138.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
166431,,120820,46392,FGC 1054,35.71,,139.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
166432,,120821,46392,FGC 1054,35.72,,139.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
166433,,120822,46392,FGC 1054,35.72,,139.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
166497,,120885,46455,KUG 1018+359,35.64,,134.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
166498,,120886,46455,KUG 1018+359,35.66,,135.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
166499,,120887,46455,KUG 1018+359,35.68,,137.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
166500,,120888,46455,KUG 1018+359,35.75,,141.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
166625,,121013,46568,NGC 3223,31.08,,16.4,Tully-Fisher,1985A&A...153..125G,,,90.0,,5,B
166626,,121014,46568,NGC 3223,31.31,,18.3,Tully-Fisher,1985A&AS...59...43B,,,103.0,,5,Diameter
166632,,121020,46568,NGC 3223,31.67,,21.6,Tully-Fisher,2002ApJ...565..681R,,,,,22,B
166634,,121022,46568,NGC 3223,31.98,,24.9,Tully-Fisher,2002ApJ...565..681R,,,,,22,B
166642,,121030,46568,NGC 3223,32.52,,31.9,Tully-Fisher,2002ApJ...565..681R,,,,,22,I
166744,,121132,46637,NGC 3183,31.91,,24.1,Tully-Fisher,1985A&A...153..125G,,,90.0,,5,B
167225,,121613,47074,UGC 05616,35.47,,124.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
167226,,121614,47074,UGC 05616,35.48,,125.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
167227,,121615,47074,UGC 05616,35.5,,126.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
167228,,121616,47074,UGC 05616,35.5,,126.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
167283,,121670,47108,NGC 3227,30.31,,11.5,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
167284,,121671,47108,NGC 3227,30.71,,13.9,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Mean of B mag and Diameter TF relation
167285,,121672,47108,NGC 3227,30.91,,15.2,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,B
167287,,121674,47108,NGC 3227,31.73,,22.2,Tully-Fisher,2015AstBu..70....1K,,,,,35,
167288,R,121675,47108,NGC 3227,31.87,,23.7,Tully-Fisher,2006sf2a.conf..365V,,,,,26,LEDA [April 2006]
167464,,121851,47262,MCG -01-27-007,34.15,,67.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
167465,,121852,47262,MCG -01-27-007,34.15,,67.7,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
167466,,121853,47262,MCG -01-27-007,34.17,,68.1,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
167531,,121918,47310,FGC 1062,34.89,,95.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
167532,,121919,47310,FGC 1062,34.9,,95.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
167533,,121920,47310,FGC 1062,34.92,,96.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
167615,,122002,47392,FGC 1063,33.76,,56.4,Tully-Fisher,2000BSAO...50....5K,,,,,20,
167616,,122003,47392,FGC 1063,33.92,,60.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
167617,,122004,47392,FGC 1063,33.93,,61.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
167618,,122005,47392,FGC 1063,33.94,,61.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
167636,,122023,47404,UGC 05633,32.79,,36.2,Tully-Fisher,2015AstBu..70....1K,,,,,35,
167724,,122111,47478,NGC 3239,29.21,,6.95,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
167725,,122112,47478,NGC 3239,29.49,,7.91,Tully-Fisher,2013AJ....145..101K,,,,,33,
167838,,122216,47561,MCG -02-27-001,33.87,,59.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
167839,,122217,47561,MCG -02-27-001,33.89,,59.9,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
167840,,122218,47561,MCG -02-27-001,33.89,,59.9,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
167841,,122219,47561,MCG -02-27-001,33.96,,61.8,Tully-Fisher,2000BSAO...50....5K,,,,,20,
167943,,122321,47640,UGC 05642,33.34,,46.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
167944,,122322,47640,UGC 05642,33.34,,46.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
167945,,122323,47640,UGC 05642,33.35,,46.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
167946,,122324,47640,UGC 05642,33.46,,49.3,Tully-Fisher,2000BSAO...50....5K,,,,,20,
167968,,122346,47660,CGCG 037-033,32.27,,28.4,Tully-Fisher,2015AstBu..70....1K,,,,,35,
168013,,122391,47699,UGC 05646,32.2,,27.6,Tully-Fisher,2015AstBu..70....1K,,,,,35,
168171,,122549,47838,IC 0610,34.0,,63.1,Tully-Fisher,2000BSAO...50....5K,,,,,20,
168176,,122554,47842,ESO 568- G 010,35.06,,103.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
168177,,122555,47842,ESO 568- G 010,35.08,,104.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
168178,,122556,47842,ESO 568- G 010,35.09,,104.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
168179,,122557,47842,ESO 568- G 010,35.12,,106.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
168269,,122647,47901,ESO 568- G 012,35.14,,107.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
168270,,122648,47901,ESO 568- G 012,35.16,,108.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
168271,,122649,47901,ESO 568- G 012,35.16,,108.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
168332,,122710,47954,FGC 1071,34.88,,94.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
168333,,122711,47954,FGC 1071,34.88,,94.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
168334,,122712,47954,FGC 1071,34.89,,95.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
168335,,122713,47954,FGC 1071,34.89,,95.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
168348,,122726,47967,NGC 3245A,30.54,,12.8,Tully-Fisher,1985A&AS...59...43B,,,103.0,,5,Diameter
168350,,122728,47967,NGC 3245A,31.79,,22.8,Tully-Fisher,2000BSAO...50....5K,,,,,20,
168351,,122729,47967,NGC 3245A,31.8,,22.9,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
168352,,122730,47967,NGC 3245A,31.81,,23.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
168353,,122731,47967,NGC 3245A,31.81,,23.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
168375,,122753,47971,ESO 375- G 026,33.2,,43.7,Tully-Fisher,2002ApJ...565..681R,,,,,22,I
168382,,122760,47971,ESO 375- G 026,33.53,,50.8,Tully-Fisher,2002ApJ...565..681R,,,,,22,B
168650,,123018,48183,UGC 05670,34.94,,97.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
168651,,123019,48183,UGC 05670,34.94,,97.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
168652,,123020,48183,UGC 05670,34.94,,97.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
168777,,123145,48291,FGC 1073,35.76,,142.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
168778,,123146,48291,FGC 1073,35.77,,143.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
