,names,meas,bootp50,bootsig,dboot,wsnt,dwa,ecf,eqd,bootmad
5783,ESO 444- G 031,3,11.547998908799604,6.659459271245048,144.70920125998126,3.904317438174425,145.4117466146747,10.6469865886309,11.340282980442735,13.457940463572712
5784,NGC 5135,4,1.105464812852646,0.5527056713701018,6.322695515170656,0.4769533635367469,6.249605614307104,0.7941482542968457,0.9263670766989421,1.0996494151850151
5785,ESO 444- G 033,11,7.189569518508911,1.7906717659590632,30.381745675979243,6.320331263365123,29.956335063220763,1.4916444645194433,6.493965698030909,5.694514814940806
5786,ESO 220- G 008,7,6.501108250200659,2.2921643338463085,34.6957882660829,7.814197382626192,41.29563364798478,1.8203909409344858,8.02343467054343,5.45461799018278
5787,NGC 5149,4,11.542315839800574,5.649567062516995,86.08144292731312,3.116182438204523,85.51223165733664,8.719206908309484,9.259328382668265,11.93275054342667
5788,2MASX J13261291-2729075,3,15.700625522311949,9.429985660609306,179.46861722071154,2.636407669894971,179.4986356431141,13.674646427915969,13.926471208830899,17.45162003237307
5789,NGC 5147,5,4.40968555886954,1.9678392295482454,17.369377853406036,3.7579979884528583,17.6813838925693,1.8985416379773499,4.210345500353795,3.801840174063256
5790,2MASXi J1326385-315207,3,13.657955731651269,8.904061695455425,104.79183013232493,3.062614206874138,104.25558867419255,8.78728911568961,9.30570017692728,13.347594457195825
5791,ESO 509- G 007,4,19.62173124009288,8.79354476204639,151.8587229597497,12.337133882606306,155.9742419916604,11.329588675691616,16.750058268487074,18.85266687655855
5792,ESO 509- G 008,2,9.043095649914362,8.452461475982426,146.97301876641828,5.329952433987947,145.52510825806456,20.05660197947857,20.752726951217706,19.026028159831434
5793,MCG -02-34-051,6,12.819539517618548,5.206348275014923,85.638722560318,6.544819043835002,85.70635101591408,5.454786192037839,8.51993830478789,10.712554777649649
5794,ESO 382- G 067,4,5.574535904162613,2.614547444639193,42.73281667929983,3.753543627872768,42.55984131337435,3.9240173690931153,5.430193558179001,5.623114522062097
5795,2MFGC 10795,3,11.949405800724316,6.910247661520813,143.03575312868264,4.509398151556471,143.91993869673425,10.69282567102372,11.604791791331923,13.773786672734634
5796,UGC 08451,12,15.52451827355532,4.561124545958091,87.64367655422846,8.30531296551572,86.89917890390672,4.158199643259678,9.288102482658577,11.72566036127951
5797,2MASX J13265397-3118388,3,16.607296588481905,9.731480500152468,196.36989771152778,3.118166274389308,197.0909426546739,14.837200250623342,15.161314988873368,18.823002959467292
5798,UGCA 358,8,6.700260637515364,2.387189642865234,35.15518890246871,5.018797009518437,34.6695264545181,1.970991165646145,5.391950444672721,5.29972132453106
5799,ESO 444- G 040,3,13.07867102423019,8.338756328625479,103.2696887987933,1.0890290493474777,103.28585875299997,8.709737350733572,8.777557119670949,13.081063290605687
5800,NGC 5157,4,26.240323072509867,11.15420372092292,145.51667202225238,30.390990217187113,139.47154343344155,14.221137975798744,33.55373379682011,26.379277218751444
5801,CGCG 072-077,4,12.038544098835786,5.6888049868554456,92.11163398189076,5.3577711170828435,92.00639544526534,8.860529225783749,10.354452641449237,12.19070377693274
5802,2MASX J13272267-2703298,3,20.005096234587203,14.025382250171509,117.91437012741962,3.5996721531828153,116.91849336962402,10.218021398507684,10.83354055287378,17.81928193265578
5803,IC 4252,2,17.240021365678103,6.673111542951542,170.35444212996205,51.55896146545267,169.73380705486613,9.670756915336433,52.458078946064745,25.433968536542178
5804,ESO 324- G 023,12,3.882875387789971,1.0362996579616157,13.648132604062669,3.8028297363269945,13.691803659339373,0.6650646326981149,3.8605472370065255,2.6446298771324392
5805,UGC 08457,4,10.343798072961864,5.038503300957929,89.5698392960152,5.4788206596699505,89.58921842385742,6.182008732495405,8.26043024239511,9.582586403488376
5806,UGC 08456,4,20.161041977947786,9.430986676003664,133.94988889930283,12.550647109368978,138.80057106400548,10.718095950104564,16.50443345466786,19.395215932166547
5807,NGC 5150,4,8.181259603112258,3.907140662706101,60.71961444567076,2.3589207469651394,60.4528426948634,6.164040318397843,6.599992434639358,8.380979854245483
5808,2MASX J13274771-2725488,3,16.099673796476484,10.183242766865515,154.944384009732,6.256687084594065,154.12395651553535,12.26285794391459,13.76676498772153,16.929494748212978
5809,2MFGC 10814,4,26.77687558553375,12.085673728228807,206.76572002017915,17.741893251497572,210.937430995211,15.220858920892747,23.37625552643655,25.282455791464642
5810,NGC 5153,2,4.425841049111612,3.8359730032843227,57.99376236746787,9.532758824749557,57.838988544289776,7.971501179516587,12.42651688390093,8.250181955211833
5811,MCG -02-34-054,4,21.539224855837393,7.9902298090538775,106.98474887835933,28.358150537429466,99.72771855936557,10.16868108526507,30.126180921539635,21.640032348836108
5812,ESO 509- G 019,3,16.683041456409136,9.553836247299786,173.59579427455733,7.780654717146702,175.66935867064097,13.749308830153408,15.798167018182575,18.643998500590712
5813,2MASX J13280741-2701144,3,14.241829412199126,8.81729827558362,120.01032544129357,0.9496452433757056,120.07771961270805,9.998721352434428,10.043717179007693,14.698604901725053
5814,2MASX J13280995-2719544,2,32.68430642431716,25.210951730605842,234.91594986473973,88.44757485415658,243.89148413270016,45.74322236418983,99.57618133791509,54.9254510171507
5815,NGC 5169,2,3.4729771942066083,3.0370543357002857,43.81805822354749,9.171888300928272,43.25138310350088,5.639569055540897,10.766999309785403,6.220316221226901
5816,NGC 5166,5,9.38205566509613,4.004520287864566,62.66365291381579,2.93285814836605,62.79421308421105,5.835790861887406,6.5313177768445545,8.867405449638571
5817,NGC 5159,3,6.830199722509921,4.050104437983175,84.96091043726226,5.683389117973805,83.78320560217406,5.901567194503664,8.193253762550317,7.874663903155669
5818,2MASX J13281864-2712274,3,24.95384742621165,13.056267299576342,217.19469341683697,25.991843203548164,221.46693761207467,16.99478004878134,31.05476552840625,26.064781709465517
5819,MCG -02-34-055,4,9.499159153225303,4.681242543237939,86.21857362694671,2.757626777060651,85.62745744343573,5.964118181495617,6.57078466580731,9.027469330175244
5820,2MASX J13282037-3056088,3,22.05455136739039,12.096094777530356,234.57278265539233,21.32009113250536,237.9395881158694,17.539291021758523,27.607481149939645,24.796160710233377
5821,ESO 444- G 047,10,11.529858658456567,2.5442579398526632,54.689318593590826,10.167294798531296,60.341370051939165,2.0762341076250626,10.377120582796906,9.740791049227983
5822,AGC 530504,3,16.025443079102992,9.859215557730336,154.4098460841136,5.147372022403719,153.7717653936354,12.271253940168274,13.307107574567809,16.912644567002594
5823,ESO 270- G 014,2,4.1086360373956206,3.7475036534163233,59.04684136641361,7.457112378917645,58.17243478113711,8.017457499591211,10.949344719642275,7.943286755276919
5824,IC 4263,6,5.848229119066275,2.4158287337836972,39.7499854737365,2.5558671420033523,39.006209032506895,2.5137816550252836,3.5849065617828924,4.906843779731948
5825,2MASX J13283562-2749271,3,13.928079511860359,8.020412815689639,153.61481362864805,5.583730623600019,154.91923896717407,11.884138550442474,13.130529188233108,15.60765962460895
5826,ESO 383- G 002,12,18.872175546067265,5.356298732091482,74.64394695082316,13.08058602063527,74.63585747806313,3.5623446750088688,13.5569919313542,12.632248037225255
5827,2MFGC 10840,3,47.35159954449989,25.82118655103797,321.48985181216204,32.54340518440412,330.79078802367974,27.908794764400376,42.87159952926556,46.753817902579875
5828,FGCE 1067,3,16.679043817351804,9.648637569830978,211.7253762750974,5.801268096898557,213.03066766692012,15.523905056175254,16.572457262736766,19.524075840566592
5829,CGCG 072-083,3,13.09205723975647,7.68583853085807,127.26196512468114,7.028815950013659,127.05741052085446,13.52696260274909,15.244112664085728,16.08844909821669
5830,2MASX J13290580-2710468,3,12.929609038833567,7.413368108856808,146.87199470985703,3.192486664940305,147.8814468910648,11.265971422226354,11.709572289039535,14.669102000558183
5831,NGC 5161,24,5.359339602685251,1.0835106650228594,22.045153870587825,4.1755439855558425,21.99281696316285,0.8079853029972812,4.252999861882337,3.6422466106288938
5832,2MASX J13291497-3116448,3,16.669925399710067,9.065333551731946,183.501612728514,13.335229369939743,185.70802915929497,13.84192041332389,19.220486546331134,19.00977327205686
5833,NGC 5201,5,20.06533622562669,8.154461638634254,113.79439675109455,12.526364047838872,114.99056403227034,11.165333153952561,16.780180591928755,18.170625090855093
5834,NGC 5172,13,16.934622063070766,2.6473040098486162,54.16952605968814,16.003145555887528,42.90570871425454,1.6449486508652487,16.08746480173014,10.499930639545235
5835,2MASX J13292280-2659218,3,15.671478808227793,8.773181290959789,161.52326261390442,6.793120722281734,162.80103470193242,12.661725274682102,14.368917011348387,17.23059754902798
5836,ESO 383- G 005,9,9.379486827300267,2.7707224349966957,52.55687550587074,6.161714725532324,54.84287288811934,3.127244902709397,6.909876195733451,7.800819213096309
5837,NGC 5162,11,16.770891676430292,4.75040408069377,95.98728020457953,9.825224927737208,97.1287774322138,4.352017068096635,10.745933995778731,12.493811391877554
5838,NGC 5180,2,6.827993423734471,6.358718996317158,106.0375544282173,8.131136152006974,104.47368094022025,14.39880073638711,16.536046618483415,13.952282059851802
5839,ARK 419,4,13.541643957828208,6.476901034692419,99.56849387618851,3.9019639811333,99.02533034539678,10.09706246359124,10.824786062723126,13.811548701764055
5840,2MASX J13293644-2749597,3,17.470370874360523,9.797081302432627,173.25340945347668,10.487428023901032,176.100335037806,13.77185401535529,17.310404662420876,19.06691853924419
5841,NGC 5204,10,0.9515355018284372,0.3068963973077405,4.978393360862798,0.364903926156405,4.839534356496198,0.17034076891821692,0.4027044237154696,0.6921918865590585
5842,UGC 08489,3,5.718792117080074,1.7770773683667418,12.151901997748865,11.236800852046228,19.17006923217108,3.0201373679288186,11.635588644744487,5.8421805720242705
5843,CGCG 072-097,4,10.926798475074277,4.667578060883815,86.68120238881944,10.09216993443669,89.77240439384721,6.256835743025468,11.874337349963952,11.02146165819686
5844,NGC 5187,4,14.683757830901868,7.168328561136141,109.50554500897536,3.972670362079987,109.09607845650626,11.123920666217703,11.812015949619017,15.080717328758679
5845,NGC 5170,15,8.854774642160136,2.050464004696101,27.428252329371094,6.581895232420979,26.855608388829705,1.2242018388583091,6.6947752010676265,5.9716498883823865
5846,MESSIER 051a,8,2.441894125166499,0.4572309432574619,3.2063240651063465,2.064822212763844,3.685242634490071,0.1875599589348346,2.073323300529518,0.8526358622628238
5847,MESSIER 051b,8,2.4397380808713205,0.45896125505889135,3.211608527248757,2.064822212763844,3.685242634490071,0.1875599589348346,2.073323300529518,0.8572532644166211
5848,MESSIER 051,8,2.4449378442299916,0.45544913595877445,3.216027796073133,2.064822212763844,3.685242634490071,0.1875599589348346,2.073323300529518,0.8605502272943621
5849,UGC 08486,6,19.60324896412631,7.652207517716344,102.13543721209003,13.661080442876559,99.26755965047839,6.599860758454612,15.171792277042732,16.427247927140453
5850,NGC 5185,12,19.88547022128753,5.377096292259373,114.96818938492807,11.559597132482697,118.80520470593726,3.7383407301924274,12.14905252603337,15.125518478379615
5851,NGC 5205,15,6.99098113780108,1.664773199335712,31.849516543084732,4.753539399642615,32.27464370713168,1.516235095011823,4.989499542769814,5.277993342241071
