ICol,Dx,Dy,Dz
198, -1.38361928816e-07, -1.7827636617e-05, -1.04635822307e-07
199, 2.06434791259e-06, -1.82137820899e-05, -4.68128467969e-07
200, 1.11594721442e-06, -1.93794648752e-05, -8.97713924204e-08
201, 3.48319064766e-07, -2.14736359744e-05, 1.89000242828e-06
202, -3.37783243881e-06, -1.82026023514e-05, -1.52591840378e-06
203, -1.53137653506e-06, -1.94279277599e-05, -1.32109185616e-06
204, 1.99389590026e-06, -1.96753150679e-05, -1.28220268756e-06
205, -1.64980385096e-06, -2.11837799096e-05, -7.09109176632e-07
206, 4.34690571142e-06, -2.1286730742e-05, 6.12622146171e-07
207, -8.03362919108e-07, -1.78786114386e-05, 3.47876051087e-07
208, 2.41721185889e-06, -1.88307814048e-05, -2.17372567325e-06
209, 2.0060506045e-06, -1.84030410867e-05, -2.52731444275e-06
210, 2.85930726293e-06, -1.80257522945e-05, -2.71432607586e-06
211, 1.86527642868e-06, -1.89075087444e-05, -1.18060749992e-06
212, 1.10262178928e-06, -1.8547104218e-05, -2.15097150544e-06
213, 3.14675575544e-06, -1.78458374323e-05, -2.60706957464e-06
214, 2.19439028889e-07, -1.95111572029e-05, -6.60327156635e-07
215, 3.81090628302e-06, -2.12604607066e-05, -2.48712908021e-06
216, 1.62635315767e-06, -1.98249523537e-05, -2.17992423197e-06
217, -2.10657576035e-06, -1.80485008871e-05, -3.93918140535e-06
218, -4.40873964464e-06, -1.66876205636e-05, 4.19860365644e-08
219, -1.02742780731e-06, -1.93066583682e-05, -2.83851846956e-06
220, -1.27883391067e-07, -1.87897227509e-05, -1.07780041062e-07
221, 2.5167065533e-06, -1.88119643244e-05, 3.89697617547e-07
222, -2.04562406747e-06, -1.89061826225e-05, -1.25001069358e-06
223, 8.98548976876e-07, -1.69968457446e-05, -1.00255567727e-06
224, 4.07931196316e-06, -2.04268775953e-05, 2.84973996301e-07
225, -9.47027403107e-07, -1.94275442579e-05, -3.98901770586e-08
226, -1.33838708299e-07, -1.69397585384e-05, -1.08512319036e-07
227, 1.5809624752e-06, -1.95989125766e-05, -9.7120178075e-07
228, 4.39880530183e-07, -1.88014496494e-05, -2.01430542777e-07
229, 3.20638486591e-06, -2.18950980871e-05, -2.89178838016e-06
230, -4.26986928561e-07, -2.10218856867e-05, 2.11801966078e-07
231, -1.28558599003e-07, -1.88008261293e-05, -1.07213554047e-07
232, 3.15195031506e-07, -1.93839492287e-05, -9.10056642123e-07
233, -7.33792822439e-07, -1.8703242499e-05, -3.67342432589e-06
234, 7.47818898219e-07, -1.99575359678e-05, -8.46304777488e-07
235, -1.83959688476e-06, -1.63894506928e-05, -3.61661277931e-06
236, 4.25467514642e-06, -1.98490060047e-05, -1.84781132079e-06
237, 2.99649632784e-06, -1.89648077132e-05, -1.29976580806e-06
238, 2.420823633e-06, -1.90163699942e-05, -4.33312092674e-07
239, 9.56348652052e-07, -1.83000683122e-05, -1.9239516926e-06
240, -2.67602316837e-06, -1.81407533037e-05, -3.77972858081e-06
241, 7.72830017495e-07, -1.73809382785e-05, -8.06504104505e-07
242, 2.5550615849e-06, -1.99959883535e-05, 1.11770776522e-06
243, -3.18451364218e-06, -1.75413711277e-05, -6.16408190501e-07
244, -1.35819315317e-07, -1.57840737407e-05, -1.07760274352e-07
245, -1.30951837793e-07, -1.80491824408e-05, -1.74150882061e-06
246, 4.79096886536e-06, -1.9512340791e-05, 1.36183642543e-06
247, 3.61849549157e-06, -1.58153787224e-05, -4.22861753187e-06
248, -2.57614504466e-06, -1.78336473993e-05, -1.96750747178e-06
249, 2.97307533531e-06, -2.03521116455e-05, -5.8584367237e-07
250, 4.73065594576e-06, -2.1477700973e-05, -2.42340208988e-06
