,Names,RA,DEC,Redshift
261,2MASX J00574642-0913084,14.44336,-9.21892,0.02577
262,2MASX J00574648-0034565,14.44361,-0.5823,0.046102
263,2MASX J00574895-1624470,14.45392,-16.41306,0.054551
264,2MASX J00575352-0927143,14.47305,-9.45416,0.049754
265,2MASX J00580256-0202175,14.51065,-2.03827,0.04278
266,2MASX J00580316-4637020,14.51325,-46.61725,0.023103
267,2MASX J00580495-1642358,14.52067,-16.70989,0.05349
268,2MASX J00582177-0600059,14.5907,-6.00173,0.04847
269,2MASX J00582468-0149387,14.60282,-1.82743,0.042293
270,2MASX J00582874-1623268,14.61971,-16.39075,0.054601
271,2MASX J00584068-1621272,14.66954,-16.35756,0.054034
272,2MASX J00584540-1543392,14.68917,-15.72753,0.051722
273,2MASX J00584679-0045067,14.69491,-0.75182,0.044042
274,2MASX J00585315-0846309,14.72149,-8.7752,0.026869
275,2MASX J00585745-0039197,14.73931,-0.65555,0.075982
276,2MASX J00585904-0202377,14.74612,-2.04381,0.091243
277,2MASX J00591051-0153577,14.79379,-1.89936,0.051856
278,2MASX J00592008-6329341,14.83371,-63.49283,0.038867
279,2MASX J00592558-1353562,14.85671,-13.89894,0.052283
280,2MASX J00593772-1353153,14.90717,-13.88771,0.03816
281,2MASX J00595379-1414403,14.97428,-14.24441,0.054911
282,2MASX J01002486-1408554,15.10354,-14.14881,0.052666
283,2MASX J01011608-1903118,15.31696,-19.05333,0.054248
284,2MASX J01012376-0057099,15.34896,-0.95289,0.050748
285,2MASX J01015385-2033438,15.47438,-20.56214,0.039594
286,2MASX J01015664-1443240,15.48595,-14.72333,0.052213
287,2MASX J01020967-5119121,15.54033,-51.32011,0.053807
288,2MASX J01024347-1939137,15.68128,-19.6538,0.039584
289,2MASX J01025568-0624422,15.73204,-6.41178,0.045375
290,2MASX J01031574-0132566,15.81573,-1.54896,0.043697
291,2MASX J01032021-0147256,15.83429,-1.79035,0.047976
292,2MASX J01032027-0507476,15.83442,-5.12994,0.036939
293,2MASX J01033924-1356507,15.9135,-13.94753,0.053584
294,2MASX J01034096-1345487,15.92091,-13.76362,0.052036
