,D (Mpc),H,M,P,Q,j2000,meas,objname
74,24.193113433310405,1.8283069795967444,3.6942691558961553,3.8339431927658016,4.30750825848585,J162608.3+482201,2,NGC6155                       
75,153.4616982799294,0.0,0.0,38.20275516980563,0.0,J021126.4+404533,1,PGC090595                     
76,1778.2794100389228,0.0,0.0,426.28914017453064,0.0,J105555.9-035648,1,H-ZSNSJ105555.93-035648.2     
77,118.57687481671597,0.0,0.0,29.518527216873274,0.0,J172900.2+085000,1,PGC060376                     
78,41.68719321780537,3.0346285256116046,6.247034257845316,6.541516792124335,6.583746106477854,J072234.6+713556,2,UGC03804                      
79,4.246195639463131,0.0,0.0,0.7046986283253013,0.0,J024024.0-082601,1,NGC1042                       
80,87.4102925755592,6.837341312396383,13.50169972389207,13.631100493374664,17.189049775883873,J084717.0-200208,2,ESO563-021                    
81,92.89663867799382,0.0,0.0,23.125689232499784,0.0,J201539.9-133719,1,PGC064373                     
82,39.48133902654206,4.557518261374999,5.504275606070903,4.632317618250325,4.921840922600983,J130951.7-241422,3,ESO508-019                    
83,51.760683195056814,0.0,0.0,12.885304474577444,0.0,J084516.8+854424,1,IC0499                        
84,23.494421012123297,3.608577293740753,4.150248032068687,2.7462526884193084,5.457392612839804,J105354.8+734126,3,NGC3403                       
85,39.26449353995993,0.0,0.0,7.240372608768611,0.0,J154544.0+123038,1,UGC10014                      
86,23.442288153199225,0.0,0.0,4.322757935449937,0.0,J201111.7-481632,1,NGC6861F                      
87,23.302263626115217,3.088106347175162,3.6151532687115835,2.7948775324069657,4.228416263500441,J084257.1-200304,3,ESO563-014                    
88,39.26449353995993,0.0,0.0,9.774503021837624,0.0,J103649.7-303740,1,ESO437-012                    
89,8.975526243131391,0.20655229873376946,0.3638444610996824,0.32882182335324495,0.5132361770082997,J115754.2+563817,2,PGC2543081                    
90,43.31283301783921,3.2032291259018257,6.4813810768681765,6.824001542153924,6.835041390086956,J071638.9+335916,2,UGC03776                      
91,31.594970417090497,2.3486910995894728,4.7822443763897216,4.937584330461405,5.425157154137949,J140211.8+554851,2,NGC5443                       
92,34.518736847515044,3.9581167436837257,4.83730189393785,4.053547832046525,4.308507629294482,J102135.1-341600,3,NGC3223                       
93,17.587686902561902,2.591556846066147,2.3824857883788413,0.602745013281106,1.5387094618408923,J131327.5+363538,4,NGC5033                       
94,99.54054173515276,0.0,0.0,24.77962245954893,0.0,J193555.2+640419,1,PGC091661                     
95,77.0135631127917,5.56837647953759,11.580587135557346,12.13498143648613,12.154613370755401,J082816.3+220205,2,PGC023757                     
96,19.173448942067004,2.598014456303918,2.634027543778765,1.8823096406672313,2.1819370207462714,J143741.1+021727,4,NGC5690                       
97,29.969119422904463,3.5118293262221925,4.278200358089036,3.592087827086487,3.854350094810191,J131035.7-214453,3,ESO576-003                    
98,36.3078054770101,0.0,0.0,6.695159329960663,0.0,J093112.0-301251,1,ESO434-010                    
99,141.0750716824939,10.345737783937317,15.181985986855238,1.8291356694893661,30.449752848611144,J131651.2+313452,2,PGC046239                     
100,6.9844119373591615,0.5358926098436254,0.3760861220400785,0.021295995536690523,0.2129235360954815,J140312.6+542057,33,NGC5457                       
101,64.56542290346549,0.0,0.0,16.0729163775887,0.0,J093141.4-160233,1,PGC027054                     
102,17.200709829706398,2.0887264294435335,2.5357333102115263,2.0541271891495185,2.6640812973049424,J022621.7-241726,3,ESO479-004                    
103,3.935050671182726,0.14026997676243866,0.11246906977359508,0.027695729942714735,0.07803536470471821,J100318.9+684403,8,NGC3077                       
104,21.936370001509093,2.976331892809896,2.982443073208075,2.1634728881659253,2.545632307112512,J223747.1+234712,4,NGC7339                       
105,31.602059977206544,2.5107234981637534,4.954710208279643,5.0149732924703025,6.323966695931753,J003240.1-253627,2,IC1553                        
