Inx,Gname,Fname,Glon,Glat,Type,cz,zz,zz_d,Method,mag,mag_d,mag_min,mag_max,dis,dis_d,dis_min,dis_max,Ndis,Nz,rowN,
174,IC4943                        ,IC 4943                       ,350.854,-32.07,G     ,2969,0.009904,0.000063,Tully-Fisher                            ,32.97,0.66,32.24,34.05,40.87,13.1,28,64.6,10,5,174,
203,NGC7171                       ,NGC 7171                      ,43.456,-47.926,G     ,2719,0.009069,0.000019,Tully-Fisher                            ,33.05,0.22,32.68,33.39,41.01,4.15,34.4,47.7,11,8,203,
183,NGC3268                       ,NGC 3268                      ,272.941,19.18,G     ,2800,0.00934,0.00007,Tully-Fisher                            ,33.05,0.26,32.71,33.56,41.03,4.9,34.8,51.5,15,6,183,
81,NGC5376                       ,NGC 5376                      ,108.559,55.805,G     ,2075,0.006921,0.000003,Tully est                               ,33.02,0.61,32.63,33.72,41.03,12.53,33.6,55.5,3,11,81,
78,NGC1700                       ,NGC 1700                      ,203.699,-27.614,G     ,3889,0.012972,0.000023,Tully-Fisher                            ,33.04,0.35,32.47,33.59,41.08,6.49,31.2,52.2,9,8,78,
128,NGC5982                       ,NGC 5982                      ,93.097,46.923,G     ,3017,0.010064,0.000031,Tully-Fisher                            ,33.06,0.23,32.66,33.57,41.22,4.47,34,51.7,12,7,128,
200,NGC7126                       ,NGC 7126                      ,332.446,-44.688,G     ,2981,0.009944,0.000007,Tully-Fisher                            ,33.08,0.17,32.84,33.26,41.34,3.08,36.9,44.8,13,7,200,
49,NGC5011                       ,NGC 5011                      ,307.082,19.603,G     ,3159,0.010537,0.000067,Tully-Fisher                            ,33.09,0.17,32.81,33.37,41.49,3.15,36.5,47.1,10,6,49,
162,NGC6754                       ,NGC 6754                      ,346.552,-23.686,G     ,3257,0.010864,0.000033,Tully-Fisher                            ,33.09,0.21,32.92,33.48,41.59,4.19,38.3,49.6,9,4,162,
176,NGC3241                       ,NGC 3241                      ,270.203,20.877,G     ,3019,0.01007,0.000013,Tully-Fisher                            ,33.08,0.18,32.8,33.27,41.63,3.23,37,45,7,4,176,
150,NGC2919                       ,NGC 2919                      ,223.174,40.847,G     ,2432,0.008112,0.000027,Tully-Fisher                            ,33.09,0.21,32.7,33.49,41.75,4.09,34.7,49.9,12,8,150,
180,NGC3258                       ,NGC 3258                      ,272.901,18.821,G     ,2792,0.009313,0.000093,Tully-Fisher                            ,33.06,0.44,32.42,33.88,41.78,8.65,30.5,59.6,16,7,180,
189,IC5084                        ,IC 5084                       ,331.557,-39.318,G     ,3156,0.010527,0.000032,Tully-Fisher                            ,33.08,0.41,32.79,33.77,41.96,8.67,36.2,56.8,5,5,189,
99,ESO427-G006                   ,ESO 427- G 006                ,240.79,-14.786,G     ,2806,0.00936,0.000013,SNIa                                    ,33.14,0.21,32.96,33.54,42.44,4.18,38.7,50.6,8,6,99,
179,NGC6916                       ,NGC 6916                      ,93.36,11.854,G     ,3101,0.010344,0.000023,Tully-Fisher                            ,33.15,0.25,32.67,33.42,42.8,4.8,33.8,48.3,6,4,179,
235,ESO320-G026                   ,ESO 320- G 026                ,289.981,22.533,G     ,2754,0.009188,0.000021,Tully-Fisher                            ,33.15,0.23,32.76,33.5,42.97,4.56,35.6,50.1,10,7,235,
134,NGC2634                       ,NGC 2634                      ,139.818,33.941,G     ,2258,0.007532,0.000017,SBF                                     ,33.14,0.39,32.62,33.59,43.07,7.43,33.4,52.2,7,3,134,
215,NGC7329                       ,NGC 7329                      ,320.973,-45.79,G     ,3252,0.010847,0.000013,Tully-Fisher                            ,33.16,0.42,31.6,33.68,43.38,6.33,21,53.7,18,7,215,
168,UGC11498                      ,UGC 11498                     ,45.907,-11.768,G     ,3271,0.010911,0.000027,Tully-Fisher                            ,33.14,0.5,32.82,34.03,43.54,11.53,36.6,64,5,5,168,
3,NGC0048                       ,NGC 0048                      ,116.524,-14.171,G     ,1776,0.005924,0.000027,Tully est                               ,33.01,1.28,32.11,33.92,43.6,24.32,26.4,60.8,2,4,3,
211,IC5179                        ,IC 5179                       ,6.502,-55.927,G     ,3422,0.011415,0.000033,Tully-Fisher                            ,33.2,0.24,32.76,33.61,43.64,4.7,35.6,52.7,25,11,211,
166,NGC3124                       ,NGC 3124                      ,257.706,28.833,G     ,3562,0.011882,0.000013,Tully-Fisher                            ,33.18,0.31,32.8,33.71,43.82,6.42,37,55.3,6,6,166,
172,NGC3147                       ,NGC 3147                      ,136.29,39.463,G     ,2802,0.009346,0.000003,Tully est                               ,33.19,0.35,32.41,33.71,43.84,6.86,30.1,55.2,11,7,172,
164,NGC6788                       ,NGC 6788                      ,342.433,-26.866,G     ,3168,0.010567,0.000033,Tully-Fisher                            ,33.2,0.27,32.85,33.59,43.87,5.42,37.1,52.2,11,5,164,
79,NGC1723                       ,NGC 1723                      ,210.248,-29.805,G     ,3741,0.012479,0.000023,Tully-Fisher                            ,33.19,0.36,32.58,33.54,43.98,6.74,32.8,51.1,5,3,79,
155,ESO434-G023                   ,ESO 434- G 023                ,259.778,18.375,G     ,2521,0.008409,0.000033,Tully-Fisher                            ,33.21,0.25,32.68,33.52,44.14,4.92,34.3,50.5,11,4,155,
147,NGC6495                       ,NGC 6495                      ,43.639,20.48,G     ,3127,0.010431,0.00006,SNIa                                    ,33.25,0.13,33.1,33.51,44.28,2.6,41.2,49.8,9,2,147,
87,NGC5468                       ,NGC 5468                      ,334.867,52.696,G     ,2842,0.00948,0.000013,Tully-Fisher                            ,33.24,0.29,32.54,33.56,44.35,5.49,31.9,51,23,5,87,
58,NGC5090                       ,NGC 5090                      ,308.611,18.839,G     ,3421,0.011411,0.00007,SBF                                     ,33.23,0.21,32.88,33.45,44.37,4.13,37.7,49,6,7,58,
145,ESO126-G003                   ,ESO 126- G 003                ,279.095,-8.031,G     ,2931,0.009776,0.00002,Tully-Fisher                            ,33.23,0.26,32.8,33.61,44.5,5.19,36.3,52.7,6,2,145,
265,ESO322-G038                   ,ESO 322- G 038                ,300.294,21.301,G     ,3165,0.010557,0.000087,Tully-Fisher                            ,33.17,0.62,32.48,34.14,44.72,13.39,31.3,67.2,9,3,265,
129,NGC5990                       ,NGC 5990                      ,10.019,41.451,G     ,3839,0.012806,0.000017,Tully-Fisher                            ,33.26,0.19,33.02,33.47,45.04,3.79,40.2,49.3,5,7,129,
149,NGC2904                       ,NGC 2904                      ,259.521,15.063,G     ,2339,0.007802,0.000103,Tully-Fisher                            ,33.16,0.81,31.86,33.9,45.08,14.47,23.6,60.3,5,3,149,
