,names,meas,bootmad,bootmsig,bootmother
306,FGC 0077,2,9.448086785302811,7.185462917188725,8.424169626196724
307,NGC 0216,6,3.345760959048696,1.2620722159142732,2.897563405869264
308,NGC 0214,14,11.669449471935563,2.8673497357297317,10.938714445939565
309,NGC 0217,4,5.790297267704908,2.558566614591017,4.255999950568607
310,KUG 0039-171B,2,3.804338786140241,2.424535651854889,2.6492885709856058
311,UGC 00442,2,6.585264439504113,4.06664392158927,6.964790839679576
312,UGC 00444,7,25.061080501803904,10.168591494765911,21.90542069523164
313,UGC 00443,3,7.455179154878561,4.1734547626710405,4.674781783765987
314,AGC 100917,3,16.558313790333838,11.202757255580362,11.443588250505194
315,ESO 540- G 016,14,3.7261472665759547,1.101581074824814,3.525171263061545
316,NGC 0227,2,9.545033383073923,6.019931723975145,6.88577167005953
317,UGC 00453,4,7.179030660300385,3.2404759988426073,5.151448099826025
318,MESSIER 031,11,0.11868934024799353,0.03683394587935846,0.11594694881783187
319,UGC 00457,7,8.296920725808247,3.681444385072558,7.130278214616903
320,ESO 150- G 020,5,12.063104186736599,7.035950417640165,10.848356770307593
321,NGC 0237,17,7.118166077509895,1.9875961016936163,6.711923234165489
322,IC 0048,2,11.93794478086634,8.045926398762473,8.614449511814572
323,2MFGC 00532,2,6.549048085339322,7.549628984731931,8.319193554409058
324,ESO 474- G 019,8,11.393668626272841,4.307627685048545,10.203543718126125
325,UGC 00465,7,8.743900862564306,3.79438231857507,7.003810469995279
326,MCG -01-03-005,6,9.312931815181233,3.8437363487258556,7.556072964130811
327,UGC 00469,4,17.593127148890435,7.3482393853766474,11.84345714981502
328,UGC 00470,3,7.797414240396067,4.186268940225946,4.06711655725009
329,NGC 0239,4,12.253106361132323,4.991580550095007,8.596848850635498
330,MCG -02-03-006,2,8.55095761810638,5.632971140802253,6.887498902394121
331,ESO 411- G 010,8,11.181884732582922,4.11265467793031,9.983311393098761
332,MCG -01-03-010,4,10.998745134922121,4.459570054781012,7.200286940318046
333,NGC 0245,4,8.028986980322463,3.594081849033948,5.382991792583357
334,ESO 243- G 001,3,11.309845163890348,7.847306069416562,7.173473428643368
335,UGC 00477,9,5.4594193593997025,2.1613200302304802,5.034641711237116
336,IC 1582,4,20.065156831279726,8.60928252915256,14.720662331141849
337,UGC 00475,4,13.351425524009642,5.456768338819692,9.425453385045584
338,UGC 00478,8,9.449308245577443,3.7808802237549064,7.881799107656483
339,UGC 00479,6,15.020268846167713,6.200647658031689,12.40693623167672
340,ESO 351- G 005,3,7.584459235870637,5.297786558368494,4.966352694960006
341,UGC 00483,6,9.719427399634727,4.059253819154963,8.070413339312411
342,UGC 00484,9,8.64041876996126,3.464097303024111,7.5535779180529605
343,ESO 540- G 021,3,9.413235308945984,5.609105562826108,5.087260838905983
344,UGC 00485,8,8.183131181665551,3.1501413735508397,7.109394803042684
345,NGC 0247,14,0.4558052790116565,0.12589534111454379,0.4419677303028753
346,UGC 00488,2,25.843903836717306,18.738980887583622,31.111721000335717
347,MCG -02-03-014,4,9.37688120196958,4.244536582739283,6.830136252183726
348,NGC 0254,3,2.443231734061342,1.5612420102827,1.504476077866586
349,UGC 00486,4,15.812119310050338,6.728677437382076,10.832853110972435
350,NGC 0253,13,0.37842319470904,0.1180015453619388,0.3598194095060064
351,MCG -02-03-015,8,8.80897112123612,3.3764409352125258,7.747591447165899
352,NGC 0255,5,3.042088122582674,1.482691685592222,2.3807798370875326
353,UGCA 014,8,2.6983372802851293,0.9970943776972045,2.368090454988637
354,SDSS J004752.07-093847.3,2,25.589099687298216,16.47337764030019,17.966733166163227
355,NGC 0251,7,8.612723578668337,3.8108742210191116,7.604535691621139
356,NGC 0257,13,10.15599657100077,3.3178608030082954,9.533457196061093
357,NGC 0259,13,6.475960809813302,2.0412388048049177,5.926129482644581
358,UGC 00501,18,8.585964762341886,2.435069883606505,8.229778579823131
359,UGC 00507,8,9.476791133960761,3.3286272646998594,8.135388316467177
360,UGC 00509,8,7.058964382642027,2.8215925992838966,6.260962688892475
361,CGCG 384-011,4,7.492242732799884,3.3286987518216193,5.550290596372459
362,UGC 00510,4,8.119291549553509,3.7180053775367092,6.129333058282986
363,UGC 00512,3,6.49634844321445,3.6047495033644714,3.6325508497987538
364,ESO 079- G 007,5,3.254088723824857,1.7215823563813903,2.466334035366358
365,NGC 0268,4,33.21031432714872,13.683805904061732,24.61041810666932
366,UGC 00511,9,9.485830892202697,3.618215999462865,8.318637421253458
367,ESO 295- G 012,5,13.486834242418341,6.31979038180396,10.609113612376504
368,ESO 243- G 003,3,16.408464758453697,11.601425824864835,11.4355008619484
369,NGC 0271,4,9.307026882485486,4.0681381636629,6.329295226745522
370,ESO 150- G 024,4,14.098420595685235,7.280404044858041,12.740652350212354
371,ESO 474- G 032,3,12.258621274252787,10.183156132396382,9.8677032930424
372,CGCG 501-024,3,9.412116092623204,5.033716004088468,5.562076481671311
373,2MASX J00505356-2153577,3,22.987937959462823,13.53667857214202,12.538434133122504
374,NGC 0274,2,2.6407412338731326,1.8849934254288547,1.915610769900545
375,NGC 0275,5,5.976492750232349,2.8580268740074444,5.053839962963521
376,2MASX J00511665-2156048,3,21.77579976861571,11.776478615049728,11.608305213628903
377,NGC 0277,2,14.892987744199079,10.297916076999945,14.812473944118574
378,2MASX J00512231-2132578,3,23.565807052595286,14.388404817273171,14.593933742571533
379,UGC 00525,14,8.730752007794235,2.4385384129740353,8.236984128465137
380,AGC 400674,3,31.149110755653293,20.11837733216282,19.347354433833896
381,NGC 0278,2,2.126845373754695,1.3001281823812987,2.032173807489771
