,bootmad,bootmother,bootmsig,meas,names
4858,4011807.544342315,2.9061609936711936,1.8499070462702536,4,NGC 4238
4859,2869374.2127337814,2.522971304523562,1.0719945960011323,7,ESO 380- G 008
4860,5112451.035893604,3.705835715947824,3.416817591848785,2,NGC 4233
4861,4148319.987450175,3.6833374174920364,1.5968726300803562,8,IC 3099
4862,3006790.80615874,2.6926030261804192,1.3116069546856206,6,NGC 4235
4863,3496572.237613758,3.3511289169396554,1.0185297532642563,16,NGC 4237
4864,2691880.6936303675,1.9683103110758329,1.8428066602373043,2,NGC 4239
4865,4983095.746374123,3.714626338528841,2.0299783603217807,4,NGC 4223
4866,832848.6156214237,0.8323566147966943,0.2079944775839357,16,NGC 4244
4867,1061359.7314931154,0.996027121040044,0.39037868956746297,11,NGC 4242
4868,1115210.7908083058,0.9947481659672148,0.9443795033514386,2,IC 3105
4869,3424753.7473203535,2.8586589633151633,1.8296329105174471,5,UGC 07321
4870,12747213.613307998,9.466344137978963,5.773070566083983,4,UGC 07327
4871,13215025.860097045,11.741421195907627,5.110373982686253,8,ESO 573- G 006
4872,12776430.813038304,11.7042945474241,5.111346794016133,9,IC 3107
4873,10467983.608471183,10.041064886068297,2.8198351754221647,16,NGC 4246
4874,3537891.9755450836,3.2298660394951515,1.3600758087961509,8,NGC 4241
4875,9961183.286207058,9.105893926984958,3.206043309341452,12,NGC 4219A
4876,53381784.46390659,58.44036868941872,10.847595004540427,2,UGC 07336
4877,14180758.307617962,8.822505333824882,8.832889318352695,3,ESO 573- G 008
4878,2585302.0028711585,2.522146025287026,1.5995259864419358,2,NGC 4251
4879,9535833.43749906,7.658349306277,4.618923248443856,4,NGC 4202
4880,9958889.10610763,8.913341083926328,3.8897529071506804,9,IC 3122
4881,18352059.41658537,18.175487490730234,13.241043315444985,2,FGC 1405
4882,1918965.1082868185,1.9974150977542084,1.72765790545286,2,NGC 4252
4883,5430572.756721893,3.9726154338728565,3.4751183471360787,2,NGC 4256
4884,2181762.3329554684,1.9847617811957503,0.7901151100411073,10,MESSIER 099
4885,4279073.975622905,3.1474355451620766,2.8979819754062204,2,NGC 4255
4886,1167596.3726798177,1.1233937503767495,0.3124135234063857,17,MESSIER 106
4887,21213366.50773233,11.60428385975568,11.669284104014466,3,IC 3141
4888,4294801.552464938,3.868800607401816,1.6926816292246156,9,IC 0776
4889,5736918.9817993725,4.96751839362583,2.5638421938002898,7,UGC 07358
4890,16462928.542590782,11.267174419823608,6.9796114281723804,4,UGC 07362
4891,5907581.517579645,4.89761627232847,2.9906432288823654,5,NGC 4260
4892,12977401.712095128,13.328997389201975,8.726677157516793,2,IC 0777
4893,6757334.482709427,6.376149165923496,4.874754903913933,2,MRK 1321
4894,4711467.769111091,3.1139582142410878,2.7037498239721867,3,NGC 4262
4895,6471145.526399467,4.814659292777332,4.311420889554375,2,IC 3152
4896,8223799.96179663,5.68856778076072,3.438676733912509,4,NGC 4263
4897,40416120.51789442,26.67750765448493,27.156403068423124,3,LCSB S1709O
4898,3263196.613063315,2.5610365390490784,2.356113712771616,2,NGC 4267
4899,5280479.431109319,4.609714419656783,1.863446784737008,6,NGC 4268
4900,16707648.360828288,13.497537666822133,11.62245418411158,2,NGC 4272
4901,3763307.6873604283,3.223267728886342,1.9869122409883813,5,NGC 4270
4902,2137792.474445789,2.0171651752520683,0.9317351642701152,6,NGC 4274
4903,6277936.736671049,5.443505794143452,2.260752173159087,8,ESO 380- G 014
4904,5720337.410106111,5.4540327678201415,1.4973934701104332,16,NGC 4273
4905,5433990.086581946,4.559399911905247,2.727442910512865,3,NGC 4278
4906,8661118.709550835,8.0095766968451,2.8308605401004265,13,ESO 506- G 002
4907,9621549.677998442,8.928822080888912,2.902311082123936,14,NGC 4284
4908,5346355.635198618,4.6732711821134405,2.059883737126091,8,UGC 07387
4909,10216991.766607348,10.680884545746954,6.058853578574497,2,NGC 4291
4910,5861105.297091791,4.664800884344474,4.004662616670252,2,NGC 4281
4911,4008336.9450621605,3.520850668678533,1.5449235942152948,8,UGC 07394
4912,15853312.4678479,13.81782288538035,5.552154221923488,8,ESO 573- G 012
4913,2493223.448527665,2.4455650996155427,1.448610309673107,3,NGC 4288
